Mes_Año,Guerrero,CDMX,Oaxaca,Puebla
01/07/2011,3.586153846,,3.83,3.4
01/08/2011,3.748611111,,3.849295775,
01/09/2011,3.696470588,,3.801960784,
01/10/2011,3.694736842,,3.760869565,3.733333333
01/11/2011,3.712328767,,3.858928571,3.8
01/12/2011,3.734375,,3.848837209,
01/01/2012,3.636842105,,3.807936508,
01/02/2012,3.638297872,,3.803448276,
01/03/2012,3.88173913,,3.929951691,
01/04/2012,3.838461538,,3.803153153,3.4
01/05/2012,3.822093023,,3.824223602,
01/06/2012,3.762222222,,3.930136986,
01/07/2012,3.71375,,3.696296296,3.8
01/08/2012,3.622580645,,3.691588785,
01/09/2012,3.6921875,,3.771428571,3.3
01/10/2012,3.66031746,3.5,3.62327044,3.2
01/11/2012,3.708139535,,3.665,
01/12/2012,3.74137931,,3.717054264,
01/01/2013,3.816883117,2.9,3.706722689,3.8
01/02/2013,3.717460317,,3.735664336,3.54
01/03/2013,3.732926829,,3.777622378,3.333333333
01/04/2013,3.748235294,,3.709722222,3.65
01/05/2013,3.704054054,1.8,3.669421488,3.45
01/06/2013,3.838095238,2.622222222,3.751376147,3.166666667
01/07/2013,3.684444444,,3.725,
01/08/2013,3.814414414,2.22,3.760431655,3.05
01/09/2013,3.675757576,,3.676612903,3.65
01/10/2013,3.752857143,,3.733858268,3.5
01/11/2013,3.711538462,,3.650625,3.7
01/12/2013,3.582539683,2.1,3.572727273,3.6
01/01/2014,3.673,,3.618539326,3.45
01/02/2014,3.647916667,,3.595364238,3.1
01/03/2014,3.733333333,,3.771698113,
01/04/2014,3.609236948,,3.59338843,
01/05/2014,3.73877551,,3.677241379,
01/06/2014,3.620930233,,3.714150943,3.4
01/07/2014,3.700862069,2.9,3.609375,
01/08/2014,3.6125,2.25,3.627459016,4
01/09/2014,3.620895522,2.1,3.575520833,
01/10/2014,3.673831776,2.3,3.630493274,3.6
01/11/2014,3.686597938,2,3.654716981,2.9
01/12/2014,3.653333333,2.28,3.594533762,3.7
01/01/2015,3.625146199,,3.628308824,3.485714286
01/02/2015,3.598125,1.9,3.57375,2.75
01/03/2015,3.629608939,,3.568478261,3.822222222
01/04/2015,3.625247525,2.3,3.588863109,
01/05/2015,3.679661017,,3.6265625,3.65
